PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia
0.0,12.71412417883059,0.598547410203846,4.0081400871276855,0.0,1.3366531133651733,0.365,0.0,0.635,1.0,0.021358717434869737,0.0,0.01850100200400802,0.0011587174348697395,0.0,0.0015412825651302607,0.953287771654241,0.0
1.0,13.483618019894445,0.4319998751723942,4.598249912261963,0.0,4.0126633644104,0.8,0.0,0.2,0.0,0.007669338677354709,0.0,0.020851703406813624,0.0012739478957915834,0.0,0.0011771543086172345,0.04870285177152346,0.0
2.0,14.601930668746956,0.501198329436627,6.266020774841309,11.945998191833496,2.9962058067321777,0.395,0.435,0.17,0.0,0.011402805611222444,0.0023939879759519037,0.02301803607214429,0.0018316633266533067,0.00019408817635270542,0.0013569138276553108,0.41996998908043504,1.4236212458595444e-09
3.0,5.698540429470875,0.586232555765565,2.449538469314575,5.380685806274414,5.9743733406066895,0.66625,0.1825,0.15125,0.0,0.0029218436873747495,0.0008683366733466934,0.01057314629258517,0.0002507014028056112,0.00017019038076152305,0.002029859719438878,0.0011675376229219642,7.247040156957087e-09
4.0,5.896942347213303,0.3624008128680654,3.358952760696411,11.089334487915039,3.5591719150543213,0.42625,0.185,0.38875,0.0,0.02370941883767535,0.0006332665330661322,0.0070240480961923845,0.0018132264529058118,0.00013006012024048097,0.0003981963927855712,0.9216932195134387,2.382696464818095e-09
5.0,12.973109327533333,0.5543356845853602,3.1727120876312256,12.1106538772583,2.3907320499420166,0.22875,0.155,0.61625,0.0,0.021589178356713423,0.0014629258517034067,0.024216432865731462,0.000693186372745491,0.00012149298597194388,0.0021635270541082168,0.9476305199737173,8.363477346275951e-09
6.0,1.44804758176883,0.3335785581748914,5.557321548461914,13.833374977111816,4.760889053344727,0.13,0.63375,0.23625,0.0,0.011771543086172344,0.0025,0.021635270541082163,0.0011172344689378759,0.00016703406813627254,0.0023202404809619243,0.03375399327120407,3.918790729376095e-09
7.0,6.485477594665153,0.5624479730622185,1.966173768043518,12.049979209899902,3.221388578414917,0.2775,0.2725,0.45,0.0,0.01366132264529058,0.0020667334669338677,0.02264929859719439,0.0018132264529058118,0.00013231462925851703,0.001426052104208417,0.869803480487483,2.4729579233726796e-09
8.0,9.805489262107113,0.5034759052682803,4.110509395599365,25.38335418701172,1.7378382682800293,0.28875,0.18875,0.5225,0.0,0.01384569138276553,0.0004396793587174349,0.01458316633266533,0.000292184368737475,0.00014584168336673347,0.001628857715430862,0.7483919979893032,2.171198874846112e-09
9.0,10.62356592319497,0.510663723356217,2.7507822513580322,21.49595069885254,3.0458672046661377,0.28125,0.1675,0.55125,0.0,0.01366132264529058,0.0005272545090180361,0.01928456913827655,0.001426052104208417,0.00011247494989979961,0.0013983967935871746,0.24533530553105518,5.698255419049262e-09
